image_path,target_x,target_y,target_angle,ix,iy,width,high
/home/allen/dl_grasp/src/data_expend/origin_img/141.jpg,308,156,0,263,114,353,198
/home/allen/dl_grasp/src/data_expend/origin_img/99.jpg,351,131,54,303,81,399,181
/home/allen/dl_grasp/src/data_expend/origin_img/197.jpg,108,277,59,56,221,160,333
/home/allen/dl_grasp/src/data_expend/origin_img/84.jpg,400,255,14,352,207,448,303
/home/allen/dl_grasp/src/data_expend/origin_img/175.jpg,186,262,34,127,209,245,315
/home/allen/dl_grasp/src/data_expend/origin_img/199.jpg,70,129,52,23,86,117,172
/home/allen/dl_grasp/src/data_expend/origin_img/150.jpg,510,148,12,466,101,554,195
/home/allen/dl_grasp/src/data_expend/origin_img/71.jpg,109,279,55,60,232,158,326
/home/allen/dl_grasp/src/data_expend/origin_img/57.jpg,217,261,2,168,223,266,299
/home/allen/dl_grasp/src/data_expend/origin_img/43.jpg,437,148,10,388,100,486,196
/home/allen/dl_grasp/src/data_expend/origin_img/155.jpg,393,154,78,347,113,439,195
/home/allen/dl_grasp/src/data_expend/origin_img/191.jpg,428,360,41,377,308,479,412
/home/allen/dl_grasp/src/data_expend/origin_img/167.jpg,412,251,32,360,204,464,298
/home/allen/dl_grasp/src/data_expend/origin_img/119.jpg,129,174,57,72,125,186,223
/home/allen/dl_grasp/src/data_expend/origin_img/38.jpg,516,332,13,468,287,564,377
/home/allen/dl_grasp/src/data_expend/origin_img/77.jpg,504,311,63,459,265,549,357
/home/allen/dl_grasp/src/data_expend/origin_img/145.jpg,450,171,44,402,131,498,211
/home/allen/dl_grasp/src/data_expend/origin_img/173.jpg,196,153,32,142,109,250,197
/home/allen/dl_grasp/src/data_expend/origin_img/11.jpg,194,213,5,145,172,243,254
/home/allen/dl_grasp/src/data_expend/origin_img/24.jpg,351,186,4,301,143,401,229
